Date,Open,High,Low,Close,GDP,Unemployment Rate,Interest Rate,M2 Money Supply,Inflation
1992-12-22,662.91,663.74,658.91,660.84,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-23,661.48,662.96,660.91,662.96,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-24,663.3,665.88,663.24,665.88,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-28,666.08,666.29,664.06,666.25,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-29,666.91,671.09,667.31,669.01,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-30,669.29,671.86,669.02,671.85,6680.803,7.4,3.0,3424.7,3.478262556
1992-12-31,672.1,676.95,672.66,676.95,6680.803,7.4,3.0,3424.7,3.478262556
1993-01-04,676.78,671.8,671.8,671.8,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-05,672.34,674.34,671.03,674.34,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-06,676.73,681.85,677.39,681.85,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-07,682.62,678.21,678.21,678.21,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-08,677.86,677.21,677.21,677.21,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-11,677.02,682.41,676.55,682.4,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-12,681.26,682.75,677.36,679.45,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-13,679.53,686.78,686.78,686.78,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-14,688.2,695.7,690.02,695.7,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-15,693.04,699.08,691.9,697.15,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-18,695.86,698.13,695.11,698.13,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-19,698.42,699.44,695.74,696.81,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-20,696.81,698.86,696.44,697.44,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-21,697.83,700.77,700.77,700.77,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-22,701.13,701.64,701.64,701.63,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-25,702.0,708.37,703.37,706.95,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-26,707.94,710.61,706.91,707.16,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-27,706.93,706.0,695.16,697.9,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-28,697.67,696.92,693.3,694.67,6729.459,7.3,3.0,3419.1,3.528455109
1993-01-29,695.59,696.74,694.07,696.34,6729.459,7.3,3.0,3419.1,3.528455109
1993-02-01,696.79,701.77,701.77,701.77,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-02,702.09,705.12,701.04,705.12,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-03,706.03,709.07,707.22,708.67,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-04,709.38,711.07,707.17,708.85,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-05,708.22,707.05,697.01,700.98,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-08,701.71,701.29,697.86,698.44,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-09,698.8,699.72,691.76,692.21,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-10,694.06,696.2,692.82,695.02,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-11,696.35,695.88,695.88,695.88,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-12,696.23,696.18,690.53,690.53,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-16,689.17,665.39,665.39,665.39,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-17,665.88,663.99,655.75,659.43,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-18,663.41,668.31,659.27,662.45,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-19,664.26,663.61,663.61,663.61,6729.459,7.1,3.0,3414.5,3.561853788
1993-02-22,663.5,661.8,652.42,652.42,6729.459,7.1,3.0,3414.5,3.561853788
